Cycle ID,Peak Label,Charge Voltage,Discharge Voltage,Overvoltage
1,,3.6824328932972223,3.5599567688454523,0.12247612445177003
1,,3.700255401477295,3.5599567688454523,0.1402986326318425
1,,3.8069069516468947,3.5599567688454523,0.24695018280144243
2,,3.5259092584508376,3.5599781092006384,-0.034068850749800816
2,,3.610347336939106,3.5599781092006384,0.050369227738467526
2,,3.6753249244437978,3.5599781092006384,0.11534681524315937
2,,3.809382427215337,3.5599781092006384,0.24940431801469876
3,,3.5248805411057558,3.5600516229721695,-0.03517108186641371
3,,3.6091215042554627,3.5600516229721695,0.04906988128329326
3,,3.6741485774670393,3.5600516229721695,0.11409695449486978
3,,3.8096454070681744,3.5600516229721695,0.24959378409600497
4,,3.5244991664347425,3.5598558059117753,-0.035356639477032825
4,,3.608747906165969,3.5598558059117753,0.04889210025419377
4,,3.6735680792602454,3.5598558059117753,0.11371227334847012
4,,3.8099916523643227,3.5598558059117753,0.2501358464525474
5,,3.524215532414169,3.560110515489756,-0.03589498307558703
5,,3.608238299341239,3.560110515489756,0.048127783851482864
5,,3.6727577482020357,3.560110515489756,0.11264723271227961
5,,3.8092153555979786,3.560110515489756,0.24910484010822254
6,,3.5240237026724697,3.5595838474521,-0.03556014477963032
6,,3.6074552002290137,3.5595838474521,0.04787135277691368
6,,3.672184265465518,3.5595838474521,0.11260041801341814
6,,3.810477594326241,3.5595838474521,0.2508937468741408
7,,3.523965653670149,3.560137995922143,-0.03617234225199395
7,,3.609411160896322,3.560137995922143,0.04927316497417911
7,,3.673095521772187,3.560137995922143,0.1129575258500437
7,,3.8100039349845307,3.560137995922143,0.24986593906238763
8,,3.5236927076358917,3.5599672701762177,-0.036274562540326016
8,,3.607546562050232,3.5599672701762177,0.04757929187401411
8,,3.6730962846502258,3.5599672701762177,0.11312901447400803
8,,3.80987957989988,3.5599672701762177,0.2499123097236624
