Cycle ID,Type,Peak Label,Amplitude,Mean,Sigma,Area
1,Charge,,7747.9371460194625,3.6824328932972223,0.03036419375718332,589.7090287935498
1,Charge,,6546.616084105082,3.700255401477295,0.03307707021708428,542.7925054229461
1,Charge,,3185.818077545911,3.8069069516468947,-0.022435151133907726,-179.1595264932997
1,Discharge,1-Graphite Intercalation,-3166.6326601144724,3.3987430931989655,0.026084513012708383,-207.04767302705446
1,Discharge,,-6647.315386780504,3.5599567688454523,0.04748514559495935,-791.2140539209496
2,Charge,,5155.942424718856,3.5259092584508376,-0.013205481090055282,-170.6680478251814
2,Charge,,2456.0965914494827,3.610347336939106,0.029956934710644513,184.4305024753261
2,Charge,,7479.3967018959365,3.6753249244437978,0.031206878372061774,585.0686543867969
2,Charge,,3061.5749960318362,3.809382427215337,0.027628938584533778,212.0308417854125
2,Discharge,1-Graphite Intercalation,-3173.5485092374242,3.399567196456205,0.02661495071923912,-211.71944245537904
2,Discharge,,-6650.103728501396,3.5599781092006384,0.049984322386031774,-833.2055663077118
3,Charge,,5103.058168265493,3.5248805411057558,-0.013369767736090539,-171.0189814547023
3,Charge,,2451.0730224830404,3.6091215042554627,0.02821119572026122,173.32758185555545
3,Charge,,7546.302097354186,3.6741485774670393,0.030049378353079238,568.4072559615744
3,Charge,,3048.0296409940956,3.8096454070681744,0.027395132484102906,209.3064083016807
3,Discharge,1-Graphite Intercalation,-3215.194784297388,3.399658699928728,0.02599358149329557,-209.4900233646754
3,Discharge,,-6681.728437139161,3.5600516229721695,0.048324366124748365,-809.3659338828402
4,Charge,,5093.720016783418,3.5244991664347425,0.01337378927929535,170.7573789462541
4,Charge,,2460.9980191974146,3.608747906165969,0.027393441264048628,168.98485821555022
4,Charge,,7514.716424747196,3.6735680792602454,0.03026512359619757,570.0920472918943
4,Charge,,3056.2954613743495,3.8099916523643227,0.02656313467120203,203.50008490897181
4,Discharge,1-Graphite Intercalation,-3270.0978863844134,3.4000763552788476,0.0242374890388874,-198.67275435829296
4,Discharge,,-6675.542482704205,3.5598558059117753,0.048800123767309925,-816.5775235507743
5,Charge,,5071.330490665902,3.524215532414169,-0.013844237395846231,-175.98712063039576
5,Charge,,2469.5944629687,3.608238299341239,0.02795017525134678,173.0215157197034
5,Charge,,7489.803735245601,3.6727577482020357,0.03128074196085886,587.2694609955738
5,Charge,,3039.695112208234,3.8092153555979786,0.025831039690539407,196.81665480926438
5,Discharge,1-Graphite Intercalation,-3238.3532324505945,3.40000172802028,0.02613969426703757,-212.1849891161032
5,Discharge,,-6717.969062050741,3.560110515489756,0.046444260570564715,-782.0958593531826
6,Charge,,5066.114415492853,3.5240237026724697,-0.013620491805266205,-172.96479533662782
6,Charge,,2451.0556118300337,3.6074552002290137,0.02929703301783998,179.9976104715939
6,Charge,,7505.601773408232,3.672184265465518,0.031016593409783615,583.5385466471554
6,Charge,,3044.2266075231646,3.810477594326241,0.02628246039582903,200.55473981761799
6,Discharge,1-Graphite Intercalation,-3277.1015078402042,3.4004701296931583,0.02435421112436078,-200.05706569279127
6,Discharge,,-6690.866296852332,3.5595838474521,0.047835759381046616,-802.2781388448522
7,Charge,,5055.017406896842,3.523965653670149,0.013783957397773033,174.65720733223375
7,Charge,,2458.0613961819954,3.609411160896322,0.029105237290644254,179.33035360117816
7,Charge,,7443.257965152483,3.673095521772187,0.03308469656441251,617.2770932675302
7,Charge,,3030.8698153850337,3.8100039349845307,0.025476516282010305,193.5518193825241
7,Discharge,1-Graphite Intercalation,-3239.447531762614,3.400341968405043,0.026572730439852886,-215.77298337232236
7,Discharge,,-6677.567226249085,3.560137995922143,0.04929078908104806,-825.0380415742486
8,Charge,,5030.5041133833965,3.5236927076358917,0.013842292729081737,174.545827637608
8,Charge,,2447.5209173282815,3.607546562050232,0.029985224237451695,183.9601043491665
8,Charge,,7472.516763816704,3.6730962846502258,0.03250720177046747,608.8866036714965
8,Charge,,3028.048280138042,3.80987957989988,0.025452100386716327,193.18631438198494
8,Discharge,1-Graphite Intercalation,-3290.6021020691956,3.400400419360635,0.024436284580968446,-201.55820367794504
8,Discharge,,-6705.303589866486,3.5599672701762177,0.04719050024548052,-793.1639393679051
