Cycle ID,Peak Label,Charge Voltage,Discharge Voltage,Overvoltage
1,"('3-Main Nickel reaction', 'lightgreen')",3.682773643218798,3.5579054188120365,0.12486822440676137
2,"('2-Early-stage Nickel redox', 'lightblue')",3.5244872896374564,3.401039520751496,0.12344776888596032
2,"('3-Main Nickel reaction', 'lightgreen')",3.583968050511015,3.557939279850739,0.026028770660275757
2,"('3-Main Nickel reaction', 'lightgreen')",3.6118735198900924,3.557939279850739,0.05393424003935321
2,"('3-Main Nickel reaction', 'lightgreen')",3.6741552437539196,3.557939279850739,0.11621596390318034
3,"('2-Early-stage Nickel redox', 'lightblue')",3.523399516515379,3.4013889279319502,0.12201058858342861
3,"('3-Main Nickel reaction', 'lightgreen')",3.5831096410080945,3.558629781916411,0.024479859091683487
3,"('3-Main Nickel reaction', 'lightgreen')",3.6104029694366435,3.558629781916411,0.05177318752023252
3,"('3-Main Nickel reaction', 'lightgreen')",3.6728677518828494,3.558629781916411,0.11423796996643842
4,"('2-Early-stage Nickel redox', 'lightblue')",3.5227846432151133,3.401486581054326,0.12129806216078709
4,"('3-Main Nickel reaction', 'lightgreen')",3.582655013978101,3.5589767710747795,0.023678242903321323
4,"('3-Main Nickel reaction', 'lightgreen')",3.609770370245502,3.5589767710747795,0.05079359917072246
4,"('3-Main Nickel reaction', 'lightgreen')",3.672464418296219,3.5589767710747795,0.11348764722143967
5,"('2-Early-stage Nickel redox', 'lightblue')",3.522707298382892,3.401839738421183,0.12086755996170906
5,"('3-Main Nickel reaction', 'lightgreen')",3.581920407591143,3.5585510295866967,0.023369378004446162
5,"('3-Main Nickel reaction', 'lightgreen')",3.609165836285555,3.5585510295866967,0.05061480669885832
5,"('3-Main Nickel reaction', 'lightgreen')",3.6709587951945055,3.5585510295866967,0.11240776560780885
5,"('4-Cobalt redox', 'lightyellow')",3.8072488939795193,3.793224586746177,0.014024307233342359
6,"('2-Early-stage Nickel redox', 'lightblue')",3.5224453440800705,3.401735429494757,0.12070991458531344
6,"('3-Main Nickel reaction', 'lightgreen')",3.5793875776510005,3.5581810419159527,0.021206535735047716
6,"('3-Main Nickel reaction', 'lightgreen')",3.608521804726414,3.5581810419159527,0.05034076281046129
6,"('3-Main Nickel reaction', 'lightgreen')",3.670192424444499,3.5581810419159527,0.11201138252854603
7,"('2-Early-stage Nickel redox', 'lightblue')",3.5223763949724427,3.4022986793015915,0.12007771567085124
7,"('3-Main Nickel reaction', 'lightgreen')",3.5803376733983714,3.560644162468976,0.01969351092939542
7,"('3-Main Nickel reaction', 'lightgreen')",3.5803376733983714,3.5596227839989885,0.02071488939938293
7,"('3-Main Nickel reaction', 'lightgreen')",3.608827881642093,3.560644162468976,0.04818371917311692
7,"('3-Main Nickel reaction', 'lightgreen')",3.608827881642093,3.5596227839989885,0.049205097643104434
7,"('3-Main Nickel reaction', 'lightgreen')",3.6716349262138883,3.560644162468976,0.11099076374491235
7,"('3-Main Nickel reaction', 'lightgreen')",3.6716349262138883,3.5596227839989885,0.11201214221489986
8,"('2-Early-stage Nickel redox', 'lightblue')",3.522179892954294,3.4017571642932203,0.12042272866107373
8,"('3-Main Nickel reaction', 'lightgreen')",3.6083872838039777,3.558827497606835,0.04955978619714285
8,"('3-Main Nickel reaction', 'lightgreen')",3.671718170385767,3.558827497606835,0.11289067277893228
8,"('3-Main Nickel reaction', 'lightgreen')",3.672412182796236,3.558827497606835,0.11358468518940112
9,"('2-Early-stage Nickel redox', 'lightblue')",3.5226808530990525,3.4014442739340653,0.1212365791649872
9,"('3-Main Nickel reaction', 'lightgreen')",3.5812553992459732,3.5579298612494563,0.023325537996516932
9,"('3-Main Nickel reaction', 'lightgreen')",3.6089719895856827,3.5579298612494563,0.051042128336226344
9,"('3-Main Nickel reaction', 'lightgreen')",3.669541943760145,3.5579298612494563,0.11161208251068855
10,"('2-Early-stage Nickel redox', 'lightblue')",3.5226769328563834,3.4010716860512935,0.12160524680508988
10,"('3-Main Nickel reaction', 'lightgreen')",3.609142246827183,3.5583946809429494,0.05074756588423357
10,"('3-Main Nickel reaction', 'lightgreen')",3.6719393171158123,3.5583946809429494,0.11354463617286292
11,"('2-Early-stage Nickel redox', 'lightblue')",3.52320456915189,3.4009991462554203,0.12220542289646952
11,"('3-Main Nickel reaction', 'lightgreen')",3.6093703031913678,3.556897895440714,0.05247240775065354
11,"('3-Main Nickel reaction', 'lightgreen')",3.672089488215991,3.556897895440714,0.11519159277527669
12,"('2-Early-stage Nickel redox', 'lightblue')",3.5229757364418455,3.4006530006285876,0.12232273581325792
12,"('3-Main Nickel reaction', 'lightgreen')",3.6106175138390864,3.5565212038633387,0.05409630997574766
12,"('3-Main Nickel reaction', 'lightgreen')",3.670226451679907,3.5565212038633387,0.1137052478165681
12,"('3-Main Nickel reaction', 'lightgreen')",3.6735989484787743,3.5565212038633387,0.11707774461543563
13,"('2-Early-stage Nickel redox', 'lightblue')",3.5231996798165426,3.4011033229094894,0.12209635690705323
13,"('3-Main Nickel reaction', 'lightgreen')",3.6094449651425315,3.559138389221551,0.050306575920980645
13,"('3-Main Nickel reaction', 'lightgreen')",3.6714679406433044,3.559138389221551,0.11232955142175349
14,"('2-Early-stage Nickel redox', 'lightblue')",3.523637891873362,3.400702402555349,0.12293548931801324
14,"('3-Main Nickel reaction', 'lightgreen')",3.609994612453132,3.556225434765249,0.05376917768788303
14,"('3-Main Nickel reaction', 'lightgreen')",3.6696858224283204,3.556225434765249,0.11346038766307132
