index,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID,count,mean,std,min,25%,50%,75%,max,Cycle_ID
Voltage,73122.0,3.743962663767402,0.2932425789924515,2.4993,3.5757,3.7236,3.9654,4.2001,1,80098.0,3.722403866513521,0.2898279417352449,2.5,3.5534,3.6963,3.9363,4.2001,2,80093.0,3.7209917695678776,0.29147109892996786,2.5,3.5528,3.6954,3.9357,4.2001,3,80116.0,3.720054974037645,0.2927797852879456,2.4993,3.5525,3.6951,3.9353,4.2001,4,80119.0,3.7193363309577006,0.29384332199316315,2.5,3.5522,3.6948,3.935,4.2001,5,80121.0,3.718766055091673,0.29461195075570124,2.5,3.5522,3.6948,3.9347,4.2001,6,80106.0,3.7182613749282205,0.2954629322876821,2.5,3.5518,3.6945,3.9347,4.2001,7,80123.0,3.717974998439898,0.29602037236633744,2.4993,3.5515,3.6945,3.9347,4.2001,8,80097.0,3.7175668676729465,0.29665696983109824,2.5,3.5512,3.6945,3.9347,4.2001,9,80107.0,3.7173711410987806,0.2971351682948838,2.4993,3.5509,3.6948,3.9347,4.2001,10,80084.0,3.7171457419709304,0.2976687420833116,2.4993,3.5509,3.6948,3.9347,4.2001,11,80075.0,3.716988986575086,0.2979661164397054,2.4993,3.5509,3.6948,3.9347,4.2001,12,80055.0,3.7167901192929866,0.2982374173825153,2.5,3.5506,3.6948,3.9347,4.2001,13,80047.0,3.7166807288218173,0.29866944943890567,2.4993,3.5506,3.6951,3.935,4.2001,14,80033.0,3.7163271850361723,0.2989881536936301,2.5,3.5503,3.6951,3.9347,4.2001,15,80024.0,3.7162896631010702,0.2993726382280367,2.5,3.55,3.6954,3.9347,4.2001,16,80024.0,3.71618621913426,0.29958470243117247,2.5,3.5497,3.6954,3.935,4.2001,17,80008.0,3.7161109314068597,0.2998057843813426,2.4993,3.549625,3.6957,3.935,4.2001,18,79998.0,3.715968090452262,0.30004640147824646,2.5,3.5491,3.6957,3.935,4.2001,19,79976.0,3.715857428478543,0.30026431891703936,2.5,3.5491,3.6957,3.935,4.2001,20,79965.0,3.7157693165760017,0.30045343048455236,2.4993,3.5491,3.696,3.935,4.2001,21,79951.0,3.7156024752661003,0.3008143942631,2.4993,3.5491,3.696,3.935,4.2001,22,79947.0,3.7157203797515863,0.3008845982637035,2.4993,3.5487,3.6963,3.9353,4.2001,23,79942.0,3.7156564972104773,0.3011196022915632,2.4993,3.5487,3.696,3.9353,4.2001,24,79913.0,3.7154963460263035,0.3010825996257367,2.5,3.5491,3.6957,3.935,4.2001,25,79912.0,3.7154136938131943,0.30124390148626146,2.5,3.5491,3.6957,3.935,4.2001,26,79968.0,3.71400099914966,0.30333879107240314,2.5,3.5429,3.6991,3.9353,4.2001,27,79937.0,3.715741832943443,0.303476864779007,2.499,3.546,3.7022,3.9369,4.2001,28,79973.0,3.716842671901767,0.30455000244150143,2.5,3.5456,3.7062,3.9391,4.2001,29,79942.0,3.7166166633309157,0.30434528269605365,2.4993,3.5463,3.7053,3.9384,4.2001,30,79917.0,3.7163924521691256,0.3041995245408101,2.4993,3.5463,3.7044,3.9381,4.2001,31,79889.0,3.7159542252375175,0.30367443089873686,2.4993,3.5463,3.7022,3.9372,4.2001,32,79878.0,3.7158329978216784,0.3038130664789174,2.4993,3.5463,3.7022,3.9372,4.2001,33,79856.0,3.7157786190142246,0.30376148397241326,2.5,3.5463,3.7019,3.9372,4.2001,34,79842.0,3.7158464655194003,0.3035814681945468,2.4993,3.5469,3.701,3.9372,4.2001,35,79816.0,3.7155413212889656,0.3034870375120376,2.4993,3.5469,3.7,3.9369,4.2001,36,79798.0,3.7130000827088394,0.3043596347743423,2.5,3.5429,3.6979,3.9369,4.2001,37,79819.0,3.7159910585199016,0.3044722316332407,2.5,3.5463,3.7031,3.9381,4.2001,38,79803.0,3.7158241181409215,0.3041848739570942,2.5,3.5466,3.7019,3.9375,4.2001,39,79776.0,3.715613110459286,0.30403025372100534,2.4993,3.5469,3.7007,3.9372,4.2001,40,79766.0,3.7154906664493645,0.3039671179100255,2.5,3.5469,3.7,3.9372,4.2001,41,79735.0,3.7153908948391545,0.30400755166361226,2.4993,3.5469,3.6997,3.9372,4.2001,42,79729.0,3.7153308081124816,0.30403818699353047,2.5,3.5469,3.6997,3.9369,4.2001,43,79700.0,3.7153625533249683,0.3039933503166342,2.5,3.5472,3.6994,3.9369,4.2001,44,79692.0,3.715200493148622,0.3039543893318031,2.5,3.5472,3.6988,3.9369,4.2001,45,79667.0,3.711935521608696,0.3052089798718574,2.5,3.5416,3.6966,3.9338,4.2001,46,79702.0,3.7155563887982734,0.3050676408726564,2.4993,3.5463,3.7025,3.9381,4.2001,47,79683.0,3.7152564386381033,0.30472838352417136,2.4993,3.5466,3.701,3.9372,4.2001,48,79673.0,3.7151734527380667,0.3047465026807937,2.5,3.5463,3.7003,3.9375,4.2001,49,79649.0,3.7149920852741403,0.30460742128472446,2.5,3.5466,3.6997,3.9372,4.2001,50,38903.0,3.826102205485438,0.2326823518913026,3.0391,3.6653,3.7717,4.0371500000000005,4.2001,51
Current,73122.0,-40.66428571428573,389.8394665390258,-420.13,-420.01,0.0,420.01,420.07,1,80098.0,0.13286024619839057,395.02432941004366,-420.01,-420.01,0.0,420.01,420.01,2,80093.0,0.057369183324369355,395.1458700446764,-420.01,-420.01,0.0,420.01,420.01,3,80116.0,0.08050264616307286,395.2072495372835,-420.01,-420.01,0.0,420.01,420.01,4,80119.0,0.08552652928768224,395.2677448389451,-420.01,-420.01,0.0,420.01,420.01,5,80121.0,0.11917437375968405,395.3092128517209,-420.01,-420.01,0.0,420.01,420.01,6,80106.0,0.11667852595311677,395.3510491932662,-420.13,-420.01,0.0,420.01,420.07,7,80123.0,0.1286841481222656,395.33565709906446,-420.01,-420.01,0.0,420.01,420.07,8,80097.0,0.11078429903744318,395.3734630824543,-420.13,-420.01,0.0,420.01,420.07,9,80107.0,0.1321270300972484,395.33508743425034,-420.13,-420.01,0.0,420.01,420.07,10,80084.0,0.12373795015234214,395.3534468250681,-420.13,-420.01,0.0,420.01,420.07,11,80075.0,0.12447892600683541,395.3646062927035,-420.13,-420.01,0.0,420.01,420.07,12,80055.0,0.1232555118355894,395.38070356769117,-420.13,-420.01,0.0,420.01,420.07,13,80047.0,0.12425262658181682,395.3743106299572,-420.13,-420.01,0.0,420.01,420.07,14,80033.0,0.11143328377042247,395.369498380576,-420.13,-420.01,0.0,420.01,420.07,15,80024.0,0.1091502549234722,395.3176083950624,-420.13,-420.01,0.0,420.01,420.07,16,80024.0,0.10802521743477377,395.2957394360368,-420.01,-420.01,0.0,420.01,420.07,17,80008.0,0.12868713128687714,395.28027531172023,-420.01,-420.01,0.0,420.01,420.01,18,79998.0,0.10838495962397988,395.27015664251866,-420.01,-420.01,0.0,420.01,420.01,19,79976.0,0.12508139941982607,395.2665903039042,-420.01,-420.01,0.0,420.01,420.01,20,79965.0,0.10388932658036447,395.26515664104676,-420.01,-420.01,0.0,420.01,420.01,21,79951.0,0.10085727508097417,395.2731273873257,-420.13,-420.01,0.0,420.01,420.01,22,79947.0,0.10407707606288759,395.2372104956441,-420.13,-420.01,0.0,420.01,420.07,23,79942.0,0.10229691526355233,395.2244078460064,-420.01,-420.01,0.0,420.01,420.07,24,79913.0,0.11749364934364981,395.31549877985793,-420.01,-420.01,0.0,420.01,420.07,25,79912.0,0.113057988787657,395.3018175323571,-420.01,-420.01,0.0,420.01,420.01,26,79968.0,0.2068783763505216,394.6101958712001,-420.01,-420.01,0.0,420.01,420.01,27,79937.0,0.10253074296007232,394.5686719919,-420.01,-420.01,0.0,420.01,420.01,28,79973.0,0.11504745351556663,394.1516230073428,-420.13,-420.01,0.0,420.01,420.01,29,79942.0,0.10987278276752042,394.2589356415325,-420.13,-420.01,0.0,420.01,420.07,30,79917.0,0.11011224145045934,394.3461593322171,-420.13,-420.01,0.0,420.01,420.07,31,79889.0,0.11761681833541758,394.5542774302973,-420.13,-420.01,0.0,420.01,420.07,32,79878.0,0.0908321440196269,394.57200174815074,-420.13,-420.01,0.0,420.01,420.07,33,79856.0,0.09169016730113634,394.64673032914146,-420.13,-420.01,0.0,420.01,420.07,34,79842.0,0.11141917787629323,394.7554582602072,-420.13,-420.01,0.0,420.01,420.07,35,79816.0,0.11306617720756856,394.81293079335313,-420.13,-420.01,0.0,420.01,420.07,36,79798.0,0.10718376400408032,394.87724178434473,-420.13,-420.01,0.0,420.01,420.07,37,79819.0,0.09025983788318101,394.504405651624,-420.13,-420.01,0.0,420.01,420.07,38,79803.0,0.09412390511632124,394.6412099298585,-420.13,-420.01,0.0,420.01,420.07,39,79776.0,0.10734280986755645,394.7613682112317,-420.13,-420.01,0.0,420.01,420.07,40,79766.0,0.10110698793967436,394.82474464301424,-420.13,-420.01,0.0,420.01,420.07,41,79735.0,0.09544403336048309,394.87633472352604,-420.13,-420.01,0.0,420.01,420.07,42,79729.0,0.09595943759484672,394.8694332853271,-420.13,-420.01,0.0,420.01,420.07,43,79700.0,0.09080250941025014,394.9356721709135,-420.13,-420.01,0.0,420.01,420.07,44,79692.0,0.09778497214271079,394.9545589977675,-420.13,-420.01,0.0,420.01,420.07,45,79667.0,0.08158547453770405,395.03511735089245,-420.13,-420.01,0.0,420.01,420.07,46,79702.0,0.0843376577751879,394.5770833263053,-420.13,-420.01,0.0,420.01,420.07,47,79683.0,0.10677183338978695,394.669365493314,-420.13,-420.01,0.0,420.01,420.07,48,79673.0,0.09851053681922974,394.7050454625552,-420.13,-420.01,0.0,420.01,420.07,49,79649.0,0.08581928210019622,394.80246005779424,-420.13,-420.01,0.0,420.01,420.07,50,38903.0,377.11268128421995,122.86902945380979,0.0,420.01,420.01,420.01,420.07,51
Capacity,73122.0,803.9461700992862,607.4204694880955,0.0,232.945,766.14,1299.335,2081.65,1,80098.0,895.048514569652,645.2138072867942,0.0,290.39,874.44,1458.48,2082.97,2,80093.0,896.3833422396465,645.5392139903072,0.0,292.02,876.07,1460.06,2084.21,3,80116.0,897.3360618353387,645.8966469703716,0.0,292.96,877.15,1461.34,2085.16,4,80119.0,897.9876792021868,646.0711892621151,0.0,293.72,877.94,1462.13,2085.69,5,80121.0,898.5185471973639,646.2123289779349,0.0,294.36,878.58,1462.8,2085.83,6,80106.0,898.7230101365691,646.1827675993181,0.0,294.72499999999997,878.845,1462.9650000000001,2085.81,7,80123.0,898.8841368895323,646.3123321210525,0.0,294.77,878.99,1463.24,2086.0,8,80097.0,898.9080275166361,646.1856424482756,0.0,295.06,879.1,1463.15,2085.74,9,80107.0,898.499190957095,646.125709642002,0.0,294.44500000000005,878.58,1462.69,2085.64,10,80084.0,898.376625293442,645.9816337110689,0.0,294.52750000000003,878.485,1462.4375,2085.18,11,80075.0,898.3044397127693,645.9120273441624,0.0,294.515,878.41,1462.3,2085.05,12,80055.0,898.3204379489101,645.8130271180474,0.0,294.74,878.47,1462.225,2084.65,13,80047.0,898.0424179544517,645.7125542866271,0.0,294.45500000000004,878.17,1461.865,2084.36,14,80033.0,897.9134102182849,645.5967725870466,0.0,294.48,878.06,1461.64,2084.05,15,80024.0,897.0349236479055,645.3299427721709,0.0,293.485,877.0,1460.525,2083.41,16,80024.0,896.888588923323,645.2878853341041,0.0,293.31,876.83,1460.35,2083.26,17,80008.0,896.5148583891612,645.1067574953664,0.0,293.02,876.42,1459.83,2082.67,18,79998.0,896.3237168429212,645.0113893913918,0.0,292.9,876.22,1459.53,2082.39,19,79976.0,895.9397266680004,644.7957495540453,0.0,292.65500000000003,875.81,1458.9650000000001,2081.71,20,79965.0,895.76214306259,644.6967013446294,0.0,292.55,875.6,1458.72,2081.55,21,79951.0,895.6375087240937,644.592076471331,0.0,292.52,875.49,1458.48,2081.23,22,79947.0,895.2410265550927,644.4721949217854,0.0,292.08,875.03,1457.99,2080.85,23,79942.0,895.0930404543294,644.410510872446,0.0,291.97,874.875,1457.78,2080.61,24,79913.0,895.8797612403489,644.4629945911241,0.0,293.19,875.9,1458.6,2080.44,25,79912.0,895.7666028881771,644.431329732356,0.0,293.07,875.78,1458.48,2080.29,26,79968.0,887.0336319527812,642.2809511900971,0.0,282.15500000000003,864.81,1447.93,2076.28,27,79937.0,886.3271650174514,642.0370821655688,0.0,281.23,864.11,1446.99,2075.69,28,79973.0,881.2787937178798,640.7974050225665,0.0,274.58,857.75,1440.87,2073.62,29,79942.0,882.3134374921817,640.9431887847122,0.0,276.22,859.125,1442.03,2073.62,30,79917.0,883.0769811179099,641.0429486054472,0.0,277.4,860.16,1442.88,2073.59,31,79889.0,885.645235138755,641.6197272336437,0.0,280.89,863.42,1445.95,2074.23,32,79878.0,885.7712909687274,641.6042857741838,0.0,281.1725,863.62,1446.06,2074.24,33,79856.0,886.4352014876777,641.6792996183042,0.0,282.21500000000003,864.505,1446.7849999999999,2074.2,34,79842.0,887.6154279702414,641.9296706018837,0.0,283.81,866.0,1448.1875,2074.47,35,79816.0,888.1474027763857,641.947946127875,0.0,284.7275,866.735,1448.7325,2074.23,36,79798.0,888.6148402215593,641.9960697905937,0.0,285.4475,867.36,1449.2425,2074.21,37,79819.0,884.0248274220424,640.84574742741,0.0,279.58500000000004,861.63,1443.66,2072.15,38,79803.0,885.6161412478228,641.2144568583269,0.0,281.71,863.62,1445.5749999999998,2072.71,39,79776.0,886.9198656237465,641.4321161377625,0.0,283.59,865.34,1447.065,2072.76,40,79766.0,887.614543539854,641.572483707449,0.0,284.5725,866.215,1447.8725,2073.0,41,79735.0,887.8259978679375,641.4810468587535,0.0,285.115,866.57,1448.0,2072.54,42,79729.0,887.7889752787569,641.4346454596814,0.0,285.16,866.55,1447.92,2072.36,43,79700.0,888.0064593475531,641.3731986921947,0.0,285.66,866.88,1448.0925,2072.07,44,79692.0,888.5193482407269,641.4461929502437,0.0,286.4275,867.545,1448.6525000000001,2072.0,45,79667.0,889.0373180865354,641.4836768517747,0.0,287.275,868.24,1449.2,2071.94,46,79702.0,883.6280747032697,640.1790504108347,0.0,280.28499999999997,861.495,1442.6875,2069.63,47,79683.0,884.7812051504086,640.3843076911,0.0,281.945,862.97,1444.0149999999999,2069.67,48,79673.0,885.2514022316217,640.4712854331883,0.0,282.64,863.61,1444.58,2069.69,49,79649.0,886.2536196311315,640.6207553733889,0.0,284.1,864.89,1445.67,2069.82,50,38903.0,868.8672107549545,627.2986652025312,0.0,282.72,850.06,1417.3899999999999,1984.68,51
dQdV,73122.0,31.667633133667028,9760.309596698227,-46884.06,0.0,0.0,0.0,2638793.19,1,80098.0,40.37701216010388,11791.194898043173,-47340.22,0.0,0.0,0.0,3336687.7,2,80093.0,40.43975578390122,11802.611376747542,-48469.92,0.0,0.0,0.0,3339798.81,3,80116.0,40.518595286834085,11812.21124272947,-47715.4,0.0,0.0,0.0,3343007.11,4,80119.0,40.52310750258989,11818.493744562345,-48504.37,0.0,0.0,0.0,3344835.26,5,80121.0,40.55442630521336,11825.315862901738,-49194.06,0.0,0.0,0.0,3346799.41,6,80106.0,40.55618817566725,11827.371424433808,-48848.0,0.0,0.0,0.0,3347071.41,7,80123.0,40.55991126143555,11829.833806934215,-49082.42,0.0,0.0,0.0,3348123.26,8,80097.0,40.550430478045385,11829.955822230797,-48846.48,0.0,0.0,0.0,3347616.89,9,80107.0,40.54588974746275,11825.21716422842,-47726.36,0.0,0.0,0.0,3346501.04,10,80084.0,40.54944495779431,11824.499447667524,-47715.79,0.0,0.0,0.0,3345815.41,11,80075.0,40.53608217296284,11823.695271784938,-47712.87,0.0,0.0,0.0,3345400.0,12,80055.0,40.53134320154894,11825.206991386212,-49166.16,0.0,0.0,0.0,3345390.52,13,80047.0,40.559133883843245,11822.693000304042,-47264.39,0.0,0.0,0.0,3344537.78,14,80033.0,40.55792997888371,11821.10705212213,-46727.59,0.0,0.0,0.0,3343805.04,15,80024.0,40.508928321503554,11811.990413584983,-46713.14,0.0,0.0,0.0,3341037.04,16,80024.0,40.491804833549935,11810.577672291156,-47026.22,0.0,0.0,0.0,3340635.56,17,80008.0,40.50037408759124,11807.80293570938,-46281.47,0.0,0.0,0.0,3339526.52,18,79998.0,40.46786782169554,11805.916517263311,-46070.49,0.0,0.0,0.0,3338787.85,19,79976.0,40.50886278383515,11802.85147015366,-45751.86,0.0,0.0,0.0,3337465.48,20,79965.0,40.487713624710814,11800.800406345481,-46256.58,0.0,0.0,0.0,3336648.89,21,79951.0,40.47530274793311,11799.74279105803,-45641.04,0.0,0.0,0.0,3336065.78,22,79947.0,40.47718250841182,11796.238374100336,-44749.38,0.0,0.0,0.0,3335003.56,23,79942.0,40.47380663481024,11795.218584320814,-45034.91,0.0,0.0,0.0,3334607.41,24,79913.0,40.517153529463286,11805.501644127944,-46962.48,0.0,0.0,0.0,3336882.67,25,79912.0,40.511281659825805,11804.577100286731,-46331.55,0.0,0.0,0.0,3336610.07,26,79968.0,40.10477090836334,11704.228217925383,-36426.04,0.0,0.0,0.0,3309523.26,27,79937.0,40.222527990792756,11695.930243904228,-33317.64,0.0,0.0,0.0,3306567.7,28,79973.0,81.06214172283143,23272.440436217585,-33662.74,0.0,0.0,0.0,6581206.52,29,79942.0,39.9734406194491,11650.301414194619,-34792.36,0.0,0.0,0.0,3293754.07,30,79917.0,81.2219864359273,23318.93436265744,-36125.34,0.0,0.0,0.0,6592032.0,31,79889.0,40.12895029353226,11692.231811486536,-37172.64,0.0,0.0,0.0,3304486.81,32,79878.0,81.5151559878815,23384.880905476766,-36712.28,0.0,0.0,0.0,6609058.96,33,79856.0,40.15261558304949,11701.936288003037,-38697.74,0.0,0.0,0.0,3306527.7,34,79842.0,81.69186317978009,23431.34303958185,-38416.15,0.0,0.0,0.0,6620688.59,35,79816.0,40.24464743910997,11724.029530760456,-39584.49,0.0,0.0,0.0,3311931.85,36,79798.0,81.86414659515277,23458.61035446492,-35456.6,0.0,0.0,0.0,6626583.7,37,79819.0,81.39940477831095,23351.17877342649,-36545.9,0.0,0.0,0.0,6597097.48,38,79803.0,81.52695023996591,23390.04863385004,-37617.19,0.0,0.0,0.0,6607410.37,39,79776.0,81.64749435920577,23423.752782693035,-39784.34,0.0,0.0,0.0,6615800.3,40,79766.0,40.25825577313642,11720.919102978596,-39865.33,0.0,0.0,0.0,3310013.63,41,79735.0,81.78793528563365,23447.2045023829,-40010.34,0.0,0.0,0.0,6620720.59,42,79729.0,81.74258475586049,23447.25547863294,-40794.55,0.0,0.0,0.0,6620481.19,43,79700.0,81.80980702634882,23455.270327230726,-41524.51,0.0,0.0,0.0,6621535.41,44,79692.0,40.28100235908246,11735.169013018613,-41774.09,0.0,0.0,0.0,3312474.96,45,79667.0,82.00647055870058,23482.01028582526,-36932.93,0.0,0.0,0.0,6627739.26,46,79702.0,81.4746744121854,23355.224861268845,-37090.18,0.0,0.0,0.0,6593399.7,47,79683.0,40.16867299172972,11693.724374844558,-38541.4,0.0,0.0,0.0,3300627.85,48,79673.0,40.180355703939846,11699.969292126643,-40266.44,0.0,0.0,0.0,3302162.67,49,79649.0,40.234495222789995,11712.101584502698,-40744.39,0.0,0.0,0.0,3305083.85,50,38903.0,185.1127267819963,33541.10350518198,-194.96,0.0,0.0,0.0,6615594.67,51
