Cycle ID,Status,Peak No,Amplitude,Mean,Sigma,Area
1,Charge,1,7839.761479804229,3.682773643218798,-0.01738730432560865,-341.68431220771305
1,Charge,2,3180.346097202553,3.805218154397608,-0.017497916657311166,-139.49243708703497
1,Discharge,1,-3227.818498330063,3.4002891829070943,-0.024217786407070643,195.94468371387052
1,Discharge,2,-6659.64745335499,3.557905418971798,0.04500777971634364,-751.3265960867903
2,Charge,1,5172.729048984618,3.5244872896374564,0.012101025101827626,156.90320916532016
2,Charge,2,7454.444233423402,3.6741552437539196,0.03156348443823585,589.7801414294806
2,Discharge,1,-3232.5204857926788,3.4010395172850947,0.02465544763364206,-199.77636735304117
2,Discharge,2,-6673.4625051549565,3.557939280288046,0.04629391806525995,-774.3995600425169
3,Charge,1,5113.088716746827,3.523399516515379,0.01218503420336862,156.17086470685976
3,Charge,2,7524.3552712011515,3.6728677518828494,0.02834041096908895,534.5217369507611
3,Discharge,1,-3280.296617756383,3.401388928071774,-0.02425291460879101,199.41920841756388
3,Discharge,2,-6679.541899432364,3.558629781968718,0.04850622964651873,-812.1460402276444
4,Charge,1,5085.319874955288,3.5227846432151133,-0.012046123480712675,-153.55201532159722
4,Charge,2,7482.943999227702,3.672464418296219,0.02984493864836123,559.8002907622412
4,Discharge,1,-3323.320182026723,3.4014865811972324,-0.021400666038326136,178.27457466382828
4,Discharge,2,-6692.94111034446,3.5589767710603755,0.04536500016228765,-761.0756980970716
5,Charge,1,5103.57717012478,3.522707298382892,-0.012602049265470122,-161.21512832213233
5,Charge,2,7463.77028771152,3.6709587951945055,0.029430105690573895,550.6048348560207
5,Discharge,1,-3297.4364476838177,3.4018397361348693,-0.024918329700083622,205.96114426823442
5,Discharge,2,-6738.41490738066,3.55855102963716,0.04378674932782084,-739.5889052407101
6,Charge,1,5058.10538147841,3.5224453440800705,-0.012383304513219657,-157.00531699917883
6,Charge,2,7490.59527833277,3.670192424444499,0.0279130494210535,524.0992656552271
6,Discharge,1,-3332.3159189170015,3.401735429738101,0.021287689698554258,-177.8134601027439
6,Discharge,2,-6673.504395831507,3.5581810419873174,-0.04907839352474634,820.9831121388632
7,Charge,1,5058.36505661088,3.5223763949724427,-0.012566470543394225,-159.3358202536785
7,Charge,2,7434.421168564406,3.6716349262138883,0.030440258251089213,567.2642671284341
7,Discharge,1,-3299.9812956290016,3.40229867902149,0.025208064513422078,-208.51673407390317
7,Discharge,2,-6692.140369253558,3.559622783912765,0.04845292709680911,-812.7837167491444
8,Charge,1,5031.099403517045,3.522179892954294,-0.012720998227510329,-160.42573008348091
8,Charge,2,7478.837057410939,3.672412182796236,0.03163434468583608,593.0384442713785
8,Discharge,1,-3342.194185358696,3.4017571642349855,-0.02161494957206747,181.08223250715116
8,Discharge,2,-6720.446162082173,3.5588274995717724,0.04477646636665257,-754.2891448922772
9,Charge,1,5040.302709401588,3.5226808530990525,0.013284020664601427,167.8325127137785
9,Charge,2,7497.395987341238,3.669541943760145,0.02627652675765194,493.81962241718014
9,Discharge,1,-3347.564267404629,3.4014442739393247,-0.021290944656127683,178.65442960426464
9,Discharge,2,-6662.303414718234,3.557929861302427,-0.05106799330865484,852.8313064754748
10,Charge,1,5083.975231830438,3.5226769328563834,0.01228944265152222,156.61218457584965
10,Charge,2,7433.94775518244,3.6719393171158123,0.032621745758032915,607.8782960884438
10,Discharge,1,-3306.5896309292684,3.4010716860635655,0.02498820250394312,-207.1119942763589
10,Discharge,2,-6681.91785211089,3.558394680894996,0.0462591093201656,-774.7977178005165
11,Charge,1,5035.944453943521,3.52320456915189,-0.012941865997399207,-163.36829033939796
11,Charge,2,7442.240545236911,3.672089488215991,0.031273090014259014,583.397323153533
11,Discharge,1,-3368.2396822448686,3.4009991460491857,-0.021414849891749566,180.80396773720622
11,Discharge,2,-6654.394062465643,3.556897895564807,0.05054691071476163,-843.1271365818434
12,Charge,1,5052.954846212991,3.5229757364418455,0.01223355382001852,154.94871839371987
12,Charge,2,7401.850742282525,3.670226451679907,0.02842916020742748,527.4657786887715
12,Discharge,1,-3375.4798596135274,3.400653000620831,-0.021333986367527036,180.50842150998656
12,Discharge,2,-6643.603825959334,3.5565212039371326,0.05068663189452089,-844.0867717520122
13,Charge,1,5048.262639522331,3.5231996798165426,-0.013100313641725047,-165.77291295622666
13,Charge,2,7416.613470796289,3.6714679406433044,0.029979399773040784,557.3378183415101
13,Discharge,1,-3375.8197279661204,3.4011033228991403,-0.021114375299209585,178.66826400808904
